,Area,Item,Year,hg/ha_yield,pesticides_tonnes,avg_temp
0,Albania,Maize,1990,36613,121,16.37
1,Albania,Potatoes,1990,66667,121,16.37
2,Albania,"Rice, paddy",1990,23333,121,16.37
3,Albania,Sorghum,1990,12500,121,16.37
4,Albania,Soybeans,1990,7000,121,16.37
5,Albania,Wheat,1990,30197,121,16.37
6,Albania,Maize,1991,29068,121,15.36
7,Albania,Potatoes,1991,77818,121,15.36
8,Albania,"Rice, paddy",1991,28538,121,15.36
9,Albania,Sorghum,1991,6667,121,15.36
10,Albania,Soybeans,1991,6066,121,15.36
11,Albania,Wheat,1991,20698,121,15.36
12,Albania,Maize,1992,24876,121,16.06
13,Albania,Potatoes,1992,82920,121,16.06
14,Albania,"Rice, paddy",1992,40000,121,16.06
15,Albania,Sorghum,1992,3747,121,16.06
16,Albania,Soybeans,1992,4507,121,16.06
17,Albania,Wheat,1992,24388,121,16.06
18,Albania,Maize,1993,24185,121,16.05
19,Albania,Potatoes,1993,98446,121,16.05
20,Albania,"Rice, paddy",1993,41786,121,16.05
21,Albania,Soybeans,1993,7998,121,16.05
22,Albania,Wheat,1993,29976,121,16.05
23,Albania,Maize,1994,25848,201,16.96
24,Albania,Potatoes,1994,81404,201,16.96
25,Albania,Soybeans,1994,7927,201,16.96
26,Albania,Wheat,1994,24745,201,16.96
27,Albania,Maize,1995,31300,251,15.67
28,Albania,Potatoes,1995,111323,251,15.67
29,Albania,Soybeans,1995,11791,251,15.67
30,Albania,Wheat,1995,28703,251,15.67
31,Albania,Maize,1996,32604,313.96,15.64
32,Albania,Potatoes,1996,106138,313.96,15.64
33,Albania,Soybeans,1996,15480,313.96,15.64
34,Albania,Wheat,1996,21741,313.96,15.64
35,Albania,Maize,1997,31862,376.93,15.9
36,Albania,Potatoes,1997,109874,376.93,15.9
37,Albania,Soybeans,1997,12768,376.93,15.9
38,Albania,Wheat,1997,28516,376.93,15.9
39,Albania,Maize,1998,33416,439.89,16.27
40,Albania,Potatoes,1998,127212,439.89,16.27
41,Albania,Soybeans,1998,14327,439.89,16.27
42,Albania,Wheat,1998,28037,439.89,16.27
43,Albania,Maize,1999,37455,502.86,16.57
44,Albania,Potatoes,1999,142018,502.86,16.57
45,Albania,Soybeans,1999,17143,502.86,16.57
46,Albania,Wheat,1999,24954,502.86,16.57
47,Albania,Maize,2000,38811,565.82,16.67
48,Albania,Potatoes,2000,141228,565.82,16.67
49,Albania,Soybeans,2000,15000,565.82,16.67
